symbol,name,sector,industry
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,Healthcare
JKCEMENT,J.K. Cement Ltd.,Construction Materials,Construction Materials
JBMA,JBM Auto Ltd.,Automobile and Auto Components,Automobile and Auto Components
JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,Automobile and Auto Components
JMFINANCIL,JM Financial Ltd.,Financial Services,Financial Services
JSWCEMENT,JSW Cement Ltd.,Construction Materials,Construction Materials
JSWENERGY,JSW Energy Ltd.,Power,Power
JSWINFRA,JSW Infrastructure Ltd.,Services,Services
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,Metals & Mining
JPPOWER,Jaiprakash Power Ventures Ltd.,Power,Power
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,Financial Services
JINDALSAW,Jindal Saw Ltd.,Capital Goods,Capital Goods
JSL,Jindal Stainless Ltd.,Metals & Mining,Metals & Mining
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining,Metals & Mining
JIOFIN,Jio Financial Services Ltd.,Financial Services,Financial Services
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,Consumer Services
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,Chemicals
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare,Healthcare
JWL,Jupiter Wagons Ltd.,Capital Goods,Capital Goods
JYOTHYLAB,Jyothy Labs Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods
JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,Capital Goods
KPRMILL,K.P.R. Mill Ltd.,Textiles,Textiles
KEI,KEI Industries Ltd.,Capital Goods,Capital Goods
KPITTECH,KPIT Technologies Ltd.,Information Technology,Information Technology
KSB,KSB Ltd.,Capital Goods,Capital Goods
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables,Consumer Durables
KPIL,Kalpataru Projects International Ltd.,Construction,Construction
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,Consumer Durables
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,Financial Services
KAYNES,Kaynes Technology India Ltd.,Capital Goods,Capital Goods
KEC,Kec International Ltd.,Construction,Construction
KFINTECH,Kfin Technologies Ltd.,Financial Services,Financial Services
KIRLOSBROS,Kirloskar Brothers Ltd.,Capital Goods,Capital Goods
KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods,Capital Goods
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,Financial Services
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,Healthcare
KWIL,Kwality Wall's (India) Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods
LTF,L&T Finance Ltd.,Financial Services,Financial Services
LTTS,L&T Technology Services Ltd.,Information Technology,Information Technology
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,Financial Services
LTFOODS,LT Foods Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods
LTIM,LTIMindtree Ltd.,Information Technology,Information Technology
LT,Larsen & Toubro Ltd.,Construction,Construction
LATENTVIEW,Latent View Analytics Ltd.,Information Technology,Information Technology
LAURUSLABS,Laurus Labs Ltd.,Healthcare,Healthcare
THELEELA,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,Consumer Services
LEMONTREE,Lemon Tree Hotels Ltd.,Consumer Services,Consumer Services
LICI,Life Insurance Corporation of India,Financial Services,Financial Services
LINDEINDIA,Linde India Ltd.,Chemicals,Chemicals
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,Metals & Mining
LODHA,Lodha Developers Ltd.,Realty,Realty
LUPIN,Lupin Ltd.,Healthcare,Healthcare
MMTC,MMTC Ltd.,Services,Services
MRF,MRF Ltd.,Automobile and Auto Components,Automobile and Auto Components
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels
MAHSCOOTER,Maharashtra Scooters Ltd.,Financial Services,Financial Services
MAHSEAMLES,Maharashtra Seamless Ltd.,Capital Goods,Capital Goods
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services,Financial Services
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,Automobile and Auto Components
MANAPPURAM,Manappuram Finance Ltd.,Financial Services,Financial Services
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels
MANKIND,Mankind Pharma Ltd.,Healthcare,Healthcare
MARICO,Marico Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,Automobile and Auto Components
MFSL,Max Financial Services Ltd.,Financial Services,Financial Services
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,Healthcare
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,Capital Goods
METROPOLIS,Metropolis Healthcare Ltd.,Healthcare,Healthcare
MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,Automobile and Auto Components
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,Automobile and Auto Components
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,Financial Services
MPHASIS,MphasiS Ltd.,Information Technology,Information Technology
MCX,Multi Commodity Exchange of India Ltd.,Financial Services,Financial Services
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,Financial Services
NATCOPHARM,NATCO Pharma Ltd.,Healthcare,Healthcare
NBCC,NBCC (India) Ltd.,Construction,Construction
NCC,NCC Ltd.,Construction,Construction
NHPC,NHPC Ltd.,Power,Power
NLCINDIA,NLC India Ltd.,Power,Power
NMDC,NMDC Ltd.,Metals & Mining,Metals & Mining
NSLNISP,NMDC Steel Ltd.,Metals & Mining,Metals & Mining
NTPCGREEN,NTPC Green Energy Ltd.,Power,Power
NTPC,NTPC Ltd.,Power,Power
NH,Narayana Hrudayalaya Ltd.,Healthcare,Healthcare
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,Metals & Mining
NAVA,Nava Ltd.,Power,Power
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,Chemicals
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods
NETWEB,Netweb Technologies India Ltd.,Information Technology,Information Technology
NEULANDLAB,Neuland Laboratories Ltd.,Healthcare,Healthcare
NEWGEN,Newgen Software Technologies Ltd.,Information Technology,Information Technology
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,Financial Services
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,Financial Services,Financial Services
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,Financial Services
NUVOCO,Nuvoco Vistas Corporation Ltd.,Construction Materials,Construction Materials
OBEROIRLTY,Oberoi Realty Ltd.,Realty,Realty
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels
OLAELEC,Ola Electric Mobility Ltd.,Automobile and Auto Components,Automobile and Auto Components
OLECTRA,Olectra Greentech Ltd.,Automobile and Auto Components,Automobile and Auto Components
PAYTM,One 97 Communications Ltd.,Financial Services,Financial Services
ONESOURCE,Onesource Specialty Pharma Ltd.,Healthcare,Healthcare
OFSS,Oracle Financial Services Software Ltd.,Information Technology,Information Technology
POLICYBZR,PB Fintech Ltd.,Financial Services,Financial Services
PCBL,PCBL Chemical Ltd.,Chemicals,Chemicals
PGEL,PG Electroplast Ltd.,Consumer Durables,Consumer Durables
PIIND,PI Industries Ltd.,Chemicals,Chemicals
PNBHOUSING,PNB Housing Finance Ltd.,Financial Services,Financial Services
PTCIL,PTC Industries Ltd.,Capital Goods,Capital Goods
PVRINOX,PVR INOX Ltd.,Media Entertainment & Publication,Media Entertainment & Publication
PAGEIND,Page Industries Ltd.,Textiles,Textiles
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods
PERSISTENT,Persistent Systems Ltd.,Information Technology,Information Technology
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels
PFIZER,Pfizer Ltd.,Healthcare,Healthcare
PHOENIXLTD,Phoenix Mills Ltd.,Realty,Realty
PIDILITIND,Pidilite Industries Ltd.,Chemicals,Chemicals
PPLPHARMA,Piramal Pharma Ltd.,Healthcare,Healthcare
POLYMED,Poly Medicure Ltd.,Healthcare,Healthcare
POLYCAB,Polycab India Ltd.,Capital Goods,Capital Goods
POONAWALLA,Poonawalla Fincorp Ltd.,Financial Services,Financial Services
PFC,Power Finance Corporation Ltd.,Financial Services,Financial Services
POWERGRID,Power Grid Corporation of India Ltd.,Power,Power
PRAJIND,Praj Industries Ltd.,Capital Goods,Capital Goods
PREMIERENE,Premier Energies Ltd.,Capital Goods,Capital Goods
PRESTIGE,Prestige Estates Projects Ltd.,Realty,Realty
PGHH,Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods
PNB,Punjab National Bank,Financial Services,Financial Services
RRKABEL,R R Kabel Ltd.,Capital Goods,Capital Goods
RBLBANK,RBL Bank Ltd.,Financial Services,Financial Services
RECLTD,REC Ltd.,Financial Services,Financial Services
RHIM,RHI MAGNESITA INDIA LTD.,Capital Goods,Capital Goods
RITES,RITES Ltd.,Construction,Construction
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,Fast Moving Consumer Goods
RVNL,Rail Vikas Nigam Ltd.,Construction,Construction
RAILTEL,Railtel Corporation Of India Ltd.,Telecommunication,Telecommunication
RAINBOW,Rainbow Childrens Medicare Ltd.,Healthcare,Healthcare
RKFORGE,Ramkrishna Forgings Ltd.,Automobile and Auto Components,Automobile and Auto Components
RCF,Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,Chemicals
REDINGTON,Redington Ltd.,Services,Services
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels
RELINFRA,Reliance Infrastructure Ltd.,Power,Power
RPOWER,Reliance Power Ltd.,Power,Power
SBFC,SBFC Finance Ltd.,Financial Services,Financial Services
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,Financial Services
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,Financial Services
SJVN,SJVN Ltd.,Power,Power
SRF,SRF Ltd.,Chemicals,Chemicals
SAGILITY,Sagility Ltd.,Information Technology,Information Technology
SAILIFE,Sai Life Sciences Ltd.,Healthcare,Healthcare
SAMMAANCAP,Sammaan Capital Ltd.,Financial Services,Financial Services
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,Automobile and Auto Components
SAPPHIRE,Sapphire Foods India Ltd.,Consumer Services,Consumer Services
SARDAEN,Sarda Energy and Minerals Ltd.,Metals & Mining,Metals & Mining
SAREGAMA,Saregama India Ltd,Media Entertainment & Publication,Media Entertainment & Publication
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components,Automobile and Auto Components
SCHNEIDER,Schneider Electric Infrastructure Ltd.,Capital Goods,Capital Goods
SCI,Shipping Corporation of India Ltd.,Services,Services
SHREECEM,Shree Cement Ltd.,Construction Materials,Construction Materials
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,Financial Services
SHYAMMETL,Shyam Metalics and Energy Ltd.,Capital Goods,Capital Goods
ENRIN,Siemens Energy India Ltd.,Capital Goods,Capital Goods
SIEMENS,Siemens Ltd.,Capital Goods,Capital Goods
SIGNATURE,Signatureglobal (India) Ltd.,Realty,Realty
SOBHA,Sobha Ltd.,Realty,Realty
SOLARINDS,Solar Industries India Ltd.,Chemicals,Chemicals
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,Automobile and Auto Components
SONATSOFTW,Sonata Software Ltd.,Information Technology,Information Technology
STARHEALTH,Star Health and Allied Insurance Company Ltd.,Financial Services,Financial Services
SBIN,State Bank of India,Financial Services,Financial Services
SAIL,Steel Authority of India Ltd.,Metals & Mining,Metals & Mining
SUMICHEM,Sumitomo Chemical India Ltd.,Chemicals,Chemicals
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare
SUNTV,Sun TV Network Ltd.,Media Entertainment & Publication,Media Entertainment & Publication
SUNDARMFIN,Sundaram Finance Ltd.,Financial Services,Financial Services
SUNDRMFAST,Sundram Fasteners Ltd.,Automobile and Auto Components,Automobile and Auto Components
SUPREMEIND,Supreme Industries Ltd.,Capital Goods,Capital Goods
SUZLON,Suzlon Energy Ltd.,Capital Goods,Capital Goods
SWANCORP,Swan Corp Ltd.,Chemicals,Chemicals
SWIGGY,Swiggy Ltd.,Consumer Services,Consumer Services
SYNGENE,Syngene International Ltd.,Healthcare,Healthcare
SYRMA,Syrma SGS Technology Ltd.,Capital Goods,Capital Goods
TBOTEK,TBO Tek Ltd.,Consumer Services,Consumer Services
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,Automobile and Auto Components
TATACHEM,Tata Chemicals Ltd.,Chemicals,Chemicals
TATACOMM,Tata Communications Ltd.,Telecommunication,Telecommunication
TCS,Tata Consultancy Services Ltd.,Information Technology,Information Technology
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods
TATAELXSI,Tata Elxsi Ltd.,Information Technology,Information Technology
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,Financial Services
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,Automobile and Auto Components
TATAPOWER,Tata Power Co. Ltd.,Power,Power
TATASTEEL,Tata Steel Ltd.,Metals & Mining,Metals & Mining
TATATECH,Tata Technologies Ltd.,Information Technology,Information Technology
TTML,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,Telecommunication
TECHM,Tech Mahindra Ltd.,Information Technology,Information Technology
TECHNOE,Techno Electric & Engineering Company Ltd.,Construction,Construction
TEJASNET,Tejas Networks Ltd.,Telecommunication,Telecommunication
NIACL,The New India Assurance Company Ltd.,Financial Services,Financial Services
RAMCOCEM,The Ramco Cements Ltd.,Construction Materials,Construction Materials
THERMAX,Thermax Ltd.,Capital Goods,Capital Goods
TIMKEN,Timken India Ltd.,Capital Goods,Capital Goods
TITAGARH,Titagarh Rail Systems Ltd.,Capital Goods,Capital Goods
TITAN,Titan Company Ltd.,Consumer Durables,Consumer Durables
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,Healthcare
TORNTPOWER,Torrent Power Ltd.,Power,Power
TARIL,Transformers And Rectifiers (India) Ltd.,Capital Goods,Capital Goods
TRENT,Trent Ltd.,Consumer Services,Consumer Services
TRIDENT,Trident Ltd.,Textiles,Textiles
TRIVENI,Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods
TRITURBINE,Triveni Turbine Ltd.,Capital Goods,Capital Goods
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,Automobile and Auto Components
UCOBANK,UCO Bank,Financial Services,Financial Services
UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components,Automobile and Auto Components
UPL,UPL Ltd.,Chemicals,Chemicals
UTIAMC,UTI Asset Management Company Ltd.,Financial Services,Financial Services
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,Construction Materials
UNIONBANK,Union Bank of India,Financial Services,Financial Services
UBL,United Breweries Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods
USHAMART,Usha Martin Ltd.,Capital Goods,Capital Goods
VGUARD,V-Guard Industries Ltd.,Consumer Durables,Consumer Durables
DBREALTY,Valor Estate Ltd.,Consumer Services,Consumer Services
VTL,Vardhman Textiles Ltd.,Textiles,Textiles
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods
MANYAVAR,Vedant Fashions Ltd.,Consumer Services,Consumer Services
VEDL,Vedanta Ltd.,Metals & Mining,Metals & Mining
VENTIVE,Ventive Hospitality Ltd.,Consumer Services,Consumer Services
VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,Healthcare
VMM,Vishal Mega Mart Ltd.,Consumer Services,Consumer Services
IDEA,Vodafone Idea Ltd.,Telecommunication,Telecommunication
VOLTAS,Voltas Ltd.,Consumer Durables,Consumer Durables
WAAREEENER,Waaree Energies Ltd.,Capital Goods,Capital Goods
WELCORP,Welspun Corp Ltd.,Capital Goods,Capital Goods
WELSPUNLIV,Welspun Living Ltd.,Textiles,Textiles
WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables,Consumer Durables
WIPRO,Wipro Ltd.,Information Technology,Information Technology
WOCKPHARMA,Wockhardt Ltd.,Healthcare,Healthcare
YESBANK,Yes Bank Ltd.,Financial Services,Financial Services
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,Automobile and Auto Components
ZEEL,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,Media Entertainment & Publication
ZENTEC,Zen Technologies Ltd.,Capital Goods,Capital Goods
ZENSARTECH,Zensar Technolgies Ltd.,Information Technology,Information Technology
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,Healthcare
ECLERX,eClerx Services Ltd.,Services,Services
